table_name,column_name,data_type,is_nullable,column_default,character_maximum_length,numeric_precision,numeric_scale,udt_name
admin_audit_log,id,bigint,NO,nextval('public.admin_audit_log_id_seq'::regclass),,64,0,int8
admin_audit_log,admin_id,uuid,NO,,,,,uuid
admin_audit_log,action,text,NO,,,,,text
admin_audit_log,target_type,text,YES,,,,,text
admin_audit_log,target_id,text,YES,,,,,text
admin_audit_log,details,jsonb,YES,'{}'::jsonb,,,,jsonb
admin_audit_log,ip_address,text,YES,,,,,text
admin_audit_log,created_at,timestamp with time zone,YES,now(),,,,timestamptz
admin_audit_log,admin_email,text,YES,,,,,text
ai_prompt_templates,id,integer,NO,nextval('public.ai_prompt_templates_id_seq'::regclass),,32,0,int4
ai_prompt_templates,template_id,text,NO,,,,,text
ai_prompt_templates,prompt_name,text,YES,,,,,text
ai_prompt_templates,system_prompt,text,NO,,,,,text
ai_prompt_templates,user_template,text,YES,,,,,text
ai_prompt_templates,model,text,YES,'gpt-4.1'::text,,,,text
ai_prompt_templates,temperature,numeric,YES,0.8,,2,1,numeric
ai_prompt_templates,max_tokens,integer,YES,4000,,32,0,int4
ai_prompt_templates,response_format,text,YES,'json_schema'::text,,,,text
ai_prompt_templates,is_active,boolean,YES,true,,,,bool
ai_prompt_templates,created_at,timestamp with time zone,YES,now(),,,,timestamptz
ai_prompt_templates,updated_at,timestamp with time zone,YES,now(),,,,timestamptz
announcements,id,uuid,NO,gen_random_uuid(),,,,uuid
announcements,title,text,NO,,,,,text
announcements,content,text,NO,,,,,text
announcements,type,text,NO,'notice'::text,,,,text
announcements,target_audience,text,YES,'all'::text,,,,text
announcements,is_active,boolean,YES,true,,,,bool
announcements,start_at,timestamp with time zone,YES,now(),,,,timestamptz
announcements,end_at,timestamp with time zone,YES,,,,,timestamptz
announcements,created_by,uuid,YES,,,,,uuid
announcements,created_at,timestamp with time zone,YES,now(),,,,timestamptz
announcements,updated_at,timestamp with time zone,YES,now(),,,,timestamptz
api_usage_logs,id,uuid,NO,gen_random_uuid(),,,,uuid
api_usage_logs,user_id,uuid,NO,,,,,uuid
api_usage_logs,session_type,text,NO,,,,,text
api_usage_logs,session_id,text,YES,,,,,text
api_usage_logs,feature,text,NO,,,,,text
api_usage_logs,service,text,NO,,,,,text
api_usage_logs,model,text,NO,,,,,text
api_usage_logs,ef_name,text,NO,,,,,text
api_usage_logs,tokens_in,integer,YES,,,32,0,int4
api_usage_logs,tokens_out,integer,YES,,,32,0,int4
api_usage_logs,audio_duration_sec,numeric,YES,,,10,2,numeric
api_usage_logs,text_length,integer,YES,,,32,0,int4
api_usage_logs,cost_usd,numeric,NO,0,,10,6,numeric
api_usage_logs,processing_time_ms,integer,YES,,,32,0,int4
api_usage_logs,created_at,timestamp with time zone,NO,now(),,,,timestamptz
beta_applications,id,uuid,NO,gen_random_uuid(),,,,uuid
beta_applications,user_id,uuid,NO,,,,,uuid
beta_applications,kakao_nickname,text,NO,,,,,text
beta_applications,status,text,NO,'pending'::text,,,,text
beta_applications,rejected_reason,text,YES,,,,,text
beta_applications,reviewed_by,uuid,YES,,,,,uuid
beta_applications,reviewed_at,timestamp with time zone,YES,,,,,timestamptz
beta_applications,created_at,timestamp with time zone,NO,now(),,,,timestamptz
beta_applications,updated_at,timestamp with time zone,NO,now(),,,,timestamptz
evaluation_criteria,id,uuid,NO,gen_random_uuid(),,,,uuid
evaluation_criteria,target_grade,text,NO,,,,,text
evaluation_criteria,question_type,text,NO,,,,,text
evaluation_criteria,criteria_text,text,NO,,,,,text
evaluation_criteria,created_at,timestamp with time zone,YES,now(),,,,timestamptz
evaluation_criteria,updated_at,timestamp with time zone,YES,now(),,,,timestamptz
evaluation_prompts,id,uuid,NO,gen_random_uuid(),,,,uuid
evaluation_prompts,key,text,NO,,,,,text
evaluation_prompts,prompt_text,text,NO,,,,,text
evaluation_prompts,description,text,YES,,,,,text
evaluation_prompts,model,text,YES,'gpt-4.1'::text,,,,text
evaluation_prompts,prompt_version,text,YES,'v1'::text,,,,text
evaluation_prompts,created_at,timestamp with time zone,YES,now(),,,,timestamptz
evaluation_prompts,updated_at,timestamp with time zone,YES,now(),,,,timestamptz
level_modifiers,level_code,text,NO,,,,,text
level_modifiers,level_label,text,NO,,,,,text
level_modifiers,target_text_type,text,YES,,,,,text
level_modifiers,sentence_target,jsonb,YES,,,,,jsonb
level_modifiers,word_count_target,jsonb,YES,,,,,jsonb
level_modifiers,duration_target_sec,jsonb,YES,,,,,jsonb
level_modifiers,required_discourse_features,ARRAY,YES,,,,,_text
level_modifiers,feedback_policy,jsonb,YES,,,,,jsonb
level_modifiers,pass_adjustments,jsonb,YES,,,,,jsonb
level_modifiers,created_at,timestamp with time zone,NO,now(),,,,timestamptz
master_questions,id,integer,NO,nextval('public.master_questions_id_seq'::regclass),,32,0,int4
master_questions,question_id,text,NO,,,,,text
master_questions,survey_type,USER-DEFINED,NO,,,,,survey_type
master_questions,topic_category,USER-DEFINED,NO,,,,,topic_category
master_questions,topic,text,NO,,,,,text
master_questions,question_title,text,YES,,,,,text
master_questions,question_english,text,NO,,,,,text
master_questions,question_korean,text,NO,,,,,text
master_questions,question_type,USER-DEFINED,YES,,,,,answer_type
master_questions,audio_url,text,YES,,,,,text
master_questions,audio_generated_at,timestamp with time zone,YES,,,,,timestamptz
master_questions,audio_voice,text,YES,'Aoede'::text,,,,text
master_questions,created_at,timestamp with time zone,YES,now(),,,,timestamptz
master_questions,updated_at,timestamp with time zone,YES,now(),,,,timestamptz
mock_test_answers,id,uuid,NO,gen_random_uuid(),,,,uuid
mock_test_answers,session_id,text,NO,,,,,text
mock_test_answers,question_number,smallint,NO,,,16,0,int2
mock_test_answers,question_id,text,YES,,,,,text
mock_test_answers,audio_url,text,YES,,,,,text
mock_test_answers,audio_duration,numeric,YES,,,8,2,numeric
mock_test_answers,transcript,text,YES,,,,,text
mock_test_answers,word_count,integer,YES,,,32,0,int4
mock_test_answers,filler_word_count,integer,YES,0,,32,0,int4
mock_test_answers,long_pause_count,integer,YES,0,,32,0,int4
mock_test_answers,pronunciation_assessment,jsonb,YES,,,,,jsonb
mock_test_answers,eval_status,text,YES,'pending'::text,,,,text
mock_test_answers,eval_retry_count,smallint,YES,0,,16,0,int2
mock_test_answers,eval_error,text,YES,,,,,text
mock_test_answers,skipped,boolean,YES,false,,,,bool
mock_test_answers,created_at,timestamp with time zone,YES,now(),,,,timestamptz
mock_test_answers,wpm,numeric,YES,,,6,2,numeric
mock_test_answers,meta_only,boolean,YES,false,,,,bool
mock_test_answers,unfinished_end,boolean,YES,false,,,,bool
mock_test_answers,filler_ratio,numeric,YES,,,5,4,numeric
mock_test_consults,id,uuid,NO,gen_random_uuid(),,,,uuid
mock_test_consults,session_id,text,NO,,,,,text
mock_test_consults,user_id,uuid,NO,,,,,uuid
mock_test_consults,question_number,integer,NO,,,32,0,int4
mock_test_consults,question_id,text,NO,,,,,text
mock_test_consults,question_type,text,NO,,,,,text
mock_test_consults,target_grade,text,NO,,,,,text
mock_test_consults,fulfillment,text,NO,,,,,text
mock_test_consults,task_checklist,jsonb,NO,'[]'::jsonb,,,,jsonb
mock_test_consults,observation,text,NO,''::text,,,,text
mock_test_consults,directions,jsonb,NO,'[]'::jsonb,,,,jsonb
mock_test_consults,weak_points,jsonb,NO,'[]'::jsonb,,,,jsonb
mock_test_consults,model,text,NO,'gpt-4.1'::text,,,,text
mock_test_consults,tokens_used,integer,NO,0,,32,0,int4
mock_test_consults,processing_time_ms,integer,NO,0,,32,0,int4
mock_test_consults,skipped_by_preprocess,boolean,NO,false,,,,bool
mock_test_consults,evaluated_at,timestamp with time zone,NO,now(),,,,timestamptz
mock_test_eval_settings,id,integer,NO,1,,32,0,int4
mock_test_eval_settings,re_checkbox_pass_threshold,numeric,NO,0.80,,,,numeric
mock_test_eval_settings,re_floor_nh,numeric,NO,0.45,,,,numeric
mock_test_eval_settings,re_floor_il,numeric,NO,0.65,,,,numeric
mock_test_eval_settings,re_floor_im1,numeric,NO,0.75,,,,numeric
mock_test_eval_settings,re_floor_im2,numeric,NO,0.95,,,,numeric
mock_test_eval_settings,re_ceiling_broke_down,numeric,NO,0.70,,,,numeric
mock_test_eval_settings,re_ceiling_respond,numeric,NO,0.90,,,,numeric
mock_test_eval_settings,re_sympathetic_low,numeric,NO,50,,,,numeric
mock_test_eval_settings,re_sympathetic_mid,numeric,NO,70,,,,numeric
mock_test_eval_settings,re_sympathetic_at_times,numeric,NO,85,,,,numeric
mock_test_eval_settings,re_sympathetic_pron_weight,numeric,NO,0.60,,,,numeric
mock_test_eval_settings,re_al_pass_threshold,numeric,NO,0.70,,,,numeric
mock_test_eval_settings,re_q12_gatekeeper_threshold,numeric,NO,0.50,,,,numeric
mock_test_eval_settings,judge_model,text,NO,'gpt-4.1-mini'::text,,,,text
mock_test_eval_settings,judge_temperature,numeric,NO,0.20,,,,numeric
mock_test_eval_settings,judge_max_tokens,integer,NO,6000,,32,0,int4
mock_test_eval_settings,coach_model,text,NO,'gpt-4.1'::text,,,,text
mock_test_eval_settings,coach_temperature,numeric,NO,0.40,,,,numeric
mock_test_eval_settings,coach_max_tokens,integer,NO,8000,,32,0,int4
mock_test_eval_settings,report_model,text,NO,'gpt-4.1'::text,,,,text
mock_test_eval_settings,report_temperature,numeric,NO,0.40,,,,numeric
mock_test_eval_settings,report_max_tokens,integer,NO,12000,,32,0,int4
mock_test_eval_settings,growth_model,text,NO,'gpt-4.1-mini'::text,,,,text
mock_test_eval_settings,growth_temperature,numeric,NO,0.50,,,,numeric
mock_test_eval_settings,growth_max_tokens,integer,NO,3000,,32,0,int4
mock_test_eval_settings,enabled_description,boolean,NO,true,,,,bool
mock_test_eval_settings,enabled_routine,boolean,NO,true,,,,bool
mock_test_eval_settings,enabled_asking_questions,boolean,NO,true,,,,bool
mock_test_eval_settings,enabled_comparison,boolean,NO,true,,,,bool
mock_test_eval_settings,enabled_past_experience,boolean,NO,true,,,,bool
mock_test_eval_settings,enabled_suggest_alternatives,boolean,NO,true,,,,bool
mock_test_eval_settings,enabled_comparison_change,boolean,NO,true,,,,bool
mock_test_eval_settings,enabled_social_issue,boolean,NO,true,,,,bool
mock_test_eval_settings,updated_at,timestamp with time zone,NO,now(),,,,timestamptz
mock_test_evaluations,id,uuid,NO,gen_random_uuid(),,,,uuid
mock_test_evaluations,session_id,text,NO,,,,,text
mock_test_evaluations,user_id,uuid,NO,,,,,uuid
mock_test_evaluations,question_number,integer,NO,,,32,0,int4
mock_test_evaluations,question_id,text,NO,,,,,text
mock_test_evaluations,question_type,text,NO,,,,,text
mock_test_evaluations,target_grade,text,NO,,,,,text
mock_test_evaluations,model,text,NO,'gpt-4.1-mini'::text,,,,text
mock_test_evaluations,tokens_used,integer,NO,0,,32,0,int4
mock_test_evaluations,processing_time_ms,integer,NO,0,,32,0,int4
mock_test_evaluations,skipped_by_preprocess,boolean,NO,false,,,,bool
mock_test_evaluations,evaluated_at,timestamp with time zone,NO,now(),,,,timestamptz
mock_test_evaluations,checkboxes,jsonb,NO,'{}'::jsonb,,,,jsonb
mock_test_evaluations,checkbox_type,text,NO,'INT'::text,,,,text
mock_test_evaluations,pass_count,integer,NO,0,,32,0,int4
mock_test_evaluations,fail_count,integer,NO,0,,32,0,int4
mock_test_evaluations,pass_rate,numeric,NO,0,,5,4,numeric
mock_test_reports,id,uuid,NO,gen_random_uuid(),,,,uuid
mock_test_reports,session_id,text,NO,,,,,text
mock_test_reports,user_id,uuid,NO,,,,,uuid
mock_test_reports,overview,jsonb,NO,'{}'::jsonb,,,,jsonb
mock_test_reports,growth,jsonb,NO,'{}'::jsonb,,,,jsonb
mock_test_reports,model,text,NO,'gpt-4.1'::text,,,,text
mock_test_reports,tokens_used,integer,NO,0,,32,0,int4
mock_test_reports,processing_time_ms,integer,NO,0,,32,0,int4
mock_test_reports,status,text,NO,'pending'::text,,,,text
mock_test_reports,created_at,timestamp with time zone,NO,now(),,,,timestamptz
mock_test_reports,completed_at,timestamp with time zone,YES,,,,,timestamptz
mock_test_reports,final_level,text,YES,,,,,text
mock_test_reports,target_grade,text,YES,,,,,text
mock_test_reports,rule_engine_result,jsonb,YES,'{}'::jsonb,,,,jsonb
mock_test_reports,aggregated_checkboxes,jsonb,YES,'{}'::jsonb,,,,jsonb
mock_test_sessions,id,uuid,NO,gen_random_uuid(),,,,uuid
mock_test_sessions,session_id,text,NO,,,,,text
mock_test_sessions,user_id,uuid,NO,,,,,uuid
mock_test_sessions,submission_id,integer,NO,,,32,0,int4
mock_test_sessions,mode,text,NO,,,,,text
mock_test_sessions,status,text,NO,'active'::text,,,,text
mock_test_sessions,question_ids,ARRAY,NO,,,,,_text
mock_test_sessions,current_question,smallint,YES,1,,16,0,int2
mock_test_sessions,total_questions,smallint,YES,15,,16,0,int2
mock_test_sessions,holistic_status,text,YES,'pending'::text,,,,text
mock_test_sessions,report_retry_count,smallint,YES,0,,16,0,int2
mock_test_sessions,report_error,text,YES,,,,,text
mock_test_sessions,started_at,timestamp with time zone,YES,now(),,,,timestamptz
mock_test_sessions,completed_at,timestamp with time zone,YES,,,,,timestamptz
mock_test_sessions,expires_at,timestamp with time zone,NO,,,,,timestamptz
opic_tips,id,integer,NO,nextval('public.opic_tips_id_seq'::regclass),,32,0,int4
opic_tips,category,text,NO,,,,,text
opic_tips,question_type,text,YES,,,,,text
opic_tips,applicable_levels,ARRAY,NO,"'{IL,IM1,IM2,IM3,IH,AL}'::text[]",,,,_text
opic_tips,title,text,NO,,,,,text
opic_tips,expression,text,NO,,,,,text
opic_tips,description,text,YES,,,,,text
opic_tips,display_order,smallint,YES,0,,16,0,int2
opic_tips,is_active,boolean,YES,true,,,,bool
opic_tips,created_at,timestamp with time zone,YES,now(),,,,timestamptz
orders,id,uuid,NO,gen_random_uuid(),,,,uuid
orders,user_id,uuid,NO,,,,,uuid
orders,product_id,text,NO,,,,,text
orders,order_name,text,NO,,,,,text
orders,amount,integer,NO,,,32,0,int4
orders,status,text,NO,'pending'::text,,,,text
orders,payment_id,text,YES,,,,,text
orders,pg_provider,text,YES,,,,,text
orders,pg_tx_id,text,YES,,,,,text
orders,pay_method,text,YES,,,,,text
orders,paid_at,timestamp with time zone,YES,,,,,timestamptz
orders,receipt_url,text,YES,,,,,text
orders,created_at,timestamp with time zone,YES,now(),,,,timestamptz
orders,updated_at,timestamp with time zone,YES,now(),,,,timestamptz
polar_balances,user_id,uuid,NO,,,,,uuid
polar_balances,balance_krw,integer,NO,0,,32,0,int4
polar_balances,total_charged,integer,NO,0,,32,0,int4
polar_balances,total_used,integer,NO,0,,32,0,int4
polar_balances,updated_at,timestamp with time zone,NO,now(),,,,timestamptz
polar_orders,id,uuid,NO,gen_random_uuid(),,,,uuid
polar_orders,user_id,uuid,NO,,,,,uuid
polar_orders,polar_checkout_id,text,NO,,,,,text
polar_orders,polar_product_id,text,YES,,,,,text
polar_orders,product_type,text,NO,,,,,text
polar_orders,amount,integer,NO,,,32,0,int4
polar_orders,credit_amount,integer,NO,0,,32,0,int4
polar_orders,status,text,NO,'paid'::text,,,,text
